type,name,rarity,date
Weapon,Sharpshooter's Oath,3-Star,2020-10-27 00:27:40
Weapon,Bloodtainted Greatsword,3-Star,2020-10-27 00:27:52
Weapon,Bloodtainted Greatsword,3-Star,2020-10-30 13:27:02
Weapon,Harbinger of Dawn,3-Star,2020-10-30 13:27:11
Weapon,Raven Bow,3-Star,2020-10-30 13:27:16
Weapon,Ferrous Shadow,3-Star,2020-10-30 13:27:23
Weapon,Black Tassel,3-Star,2020-10-30 13:27:28
Weapon,Slingshot,3-Star,2020-10-30 13:27:35
Character,Noelle,4-Star,2020-10-30 13:27:41
Weapon,Bloodtainted Greatsword,3-Star,2020-10-30 13:27:46
Character,Sucrose,4-Star,2020-10-30 13:27:52
Weapon,Magic Guide,3-Star,2020-10-30 13:28:00
Weapon,Sacrificial Fragments,4-Star,2020-10-30 13:28:37
Weapon,Bloodtainted Greatsword,3-Star,2020-10-30 13:28:45
Weapon,Slingshot,3-Star,2020-10-30 13:28:51
Weapon,Magic Guide,3-Star,2020-10-30 13:28:56
Weapon,Bloodtainted Greatsword,3-Star,2020-10-30 14:27:17
Weapon,Debate Club,3-Star,2020-11-01 01:47:04
Weapon,Cool Steel,3-Star,2020-11-01 01:47:11
Weapon,Emerald Orb,3-Star,2020-11-01 01:47:20
Character,Sucrose,4-Star,2020-11-01 16:38:25
Weapon,Bloodtainted Greatsword,3-Star,2020-11-01 16:38:34
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-01 16:38:41
Weapon,Sharpshooter's Oath,3-Star,2020-11-01 16:40:11
Weapon,Debate Club,3-Star,2020-11-01 16:40:17
Weapon,Harbinger of Dawn,3-Star,2020-11-01 16:40:22
Weapon,Slingshot,3-Star,2020-11-01 16:40:27
Weapon,Emerald Orb,3-Star,2020-11-01 16:40:33
Weapon,Bloodtainted Greatsword,3-Star,2020-11-02 13:26:49
Character,Noelle,4-Star,2020-11-02 13:26:56
Weapon,Slingshot,3-Star,2020-11-02 13:49:12
Weapon,Debate Club,3-Star,2020-11-03 12:50:53
Weapon,Slingshot,3-Star,2020-11-03 12:51:00
Weapon,Skyrider Sword,3-Star,2020-11-03 12:52:55
Weapon,Ferrous Shadow,3-Star,2020-11-03 12:53:00
Weapon,Bloodtainted Greatsword,3-Star,2020-11-03 12:53:05
