Character
Albedo (5-Star)
2020-12-29 18:31:21
Weapon
Emerald Orb
2020-12-29 18:31:14
Weapon
Cool Steel
2020-12-29 18:31:07
Weapon
Raven Bow
2020-12-29 18:30:59
Weapon
Raven Bow
2020-12-29 17:23:25
Weapon
Emerald Orb
2020-12-29 17:23:16
Character
Bennett (4-Star)
2020-12-27 20:27:37
Weapon
Black Tassel
2020-12-27 20:27:30
Weapon
Debate Club
2020-12-27 20:27:23
Weapon
Skyrider Sword
2020-12-27 20:27:17
Weapon
Raven Bow
2020-12-27 20:27:11
Weapon
Black Tassel
2020-12-27 20:27:04
Weapon
Raven Bow
2020-12-27 20:26:58
Weapon
Skyrider Sword
2020-12-27 20:26:51
Weapon
Bloodtainted Greatsword
2020-12-27 20:26:45
Weapon
Sharpshooter's Oath
2020-12-27 20:26:37
Weapon
Rainslasher (4-Star)
2020-12-26 19:57:28
Weapon
Sharpshooter's Oath
2020-12-26 19:57:20
Weapon
Slingshot
2020-12-26 19:57:13
Weapon
Cool Steel
2020-12-26 19:57:07
Weapon
Ferrous Shadow
2020-12-26 19:56:59
Weapon
Raven Bow
2020-12-26 19:56:52
Weapon
Emerald Orb
2020-12-26 19:56:44
Weapon
Black Tassel
2020-12-26 19:56:36
Weapon
Sharpshooter's Oath
2020-12-26 19:56:28
Character
Sucrose (4-Star)
2020-12-26 19:56:14
Weapon
Sharpshooter's Oath
2020-12-26 19:56:07
Weapon
Thrilling Tales of Dragon Slayers
2020-12-26 19:55:57
Weapon
Bloodtainted Greatsword
2020-12-24 01:10:18
Weapon
Harbinger of Dawn
2020-12-24 01:10:12
Weapon
Bloodtainted Greatsword
2020-12-24 01:10:04
Character
Bennett (4-Star)
2020-12-23 14:18:53
Weapon
Magic Guide
2020-12-23 14:18:47
Weapon
Debate Club
2020-12-23 14:18:28
Weapon
Skyrider Sword
2020-12-23 14:18:22
Weapon
Skyrider Sword
2020-12-23 14:18:16
Weapon
Black Tassel
2020-12-23 14:18:10
Weapon
Debate Club
2020-12-23 14:18:03
Weapon
Emerald Orb
2020-12-23 14:17:56
Weapon
Bloodtainted Greatsword
2020-12-23 14:17:49
Character
Sucrose (4-Star)
2020-12-23 14:17:36
Weapon
Magic Guide
2020-12-23 14:17:30
Weapon
Debate Club
2020-12-23 14:17:24
Weapon
Skyrider Sword
2020-12-23 14:17:18
Weapon
Skyrider Sword
2020-12-23 14:17:11
Weapon
Bloodtainted Greatsword
2020-12-23 14:17:04
Weapon
Ferrous Shadow
2020-12-23 14:16:58
Weapon
Black Tassel
2020-12-23 14:16:49
Weapon
Sacrificial Sword (4-Star)
2020-12-23 14:16:32
Weapon
Ferrous Shadow
2020-12-23 14:16:26
Weapon
Bloodtainted Greatsword
2020-12-23 14:16:19
Weapon
Raven Bow
2020-12-23 14:16:14
Weapon
Thrilling Tales of Dragon Slayers
2020-12-23 14:16:07
Weapon
Sharpshooter's Oath
2020-12-23 14:15:50
Weapon
Raven Bow
2020-12-21 20:35:22
Weapon
Ferrous Shadow
2020-12-17 18:39:58
Weapon
Bloodtainted Greatsword
2020-12-17 18:39:51
Character
Xinyan (4-Star)
2020-12-17 18:38:25
Weapon
Bloodtainted Greatsword
2020-12-17 18:38:20
Weapon
Black Tassel
2020-12-17 18:37:19
Weapon
Bloodtainted Greatsword
2020-12-17 18:37:12
Weapon
Debate Club
2020-12-17 18:37:04
Weapon
Skyrider Sword
2020-12-17 18:36:55
Weapon
Ferrous Shadow
2020-12-17 18:36:48
Weapon
Bloodtainted Greatsword
2020-12-17 18:36:40
Weapon
Sharpshooter's Oath
2020-12-17 18:35:28
Weapon
Emerald Orb
2020-12-17 18:35:17
Character
Xinyan (4-Star)
2020-12-17 18:35:06
Weapon
Emerald Orb
2020-12-17 18:34:59
Weapon
Sharpshooter's Oath
2020-12-02 23:27:27
Weapon
Magic Guide
2020-12-01 18:11:59
Weapon
Ferrous Shadow
2020-12-01 18:11:53
Weapon
Black Tassel
2020-12-01 18:11:46
Weapon
Bloodtainted Greatsword
2020-12-01 18:11:39
Weapon
Emerald Orb
2020-12-01 18:11:28
Character
Zhongli (5-Star)
2020-12-01 18:11:01
Weapon
Skyrider Sword
2020-12-01 18:10:54
Character
Xinyan (4-Star)
2020-12-01 18:10:35
Weapon
Harbinger of Dawn
2020-12-01 18:10:28
Weapon
Skyrider Sword
2020-12-01 18:10:21
Weapon
Ferrous Shadow
2020-12-01 18:10:14
Weapon
Magic Guide
2020-12-01 18:10:07
Weapon
Skyrider Sword
2020-12-01 18:09:59
Weapon
Black Tassel
2020-12-01 18:09:44
Weapon
Harbinger of Dawn
2020-12-01 18:09:02
Weapon
Ferrous Shadow
2020-12-01 18:08:57
Character
Ningguang (4-Star)
2020-11-27 21:07:06
Weapon
Bloodtainted Greatsword
2020-11-27 21:07:06
Weapon
Cool Steel
2020-11-27 21:07:06
Weapon
Skyrider Sword
2020-11-27 21:07:06
Weapon
Thrilling Tales of Dragon Slayers
2020-11-27 21:07:06
Weapon
Harbinger of Dawn
2020-11-27 21:07:06
Weapon
Magic Guide
2020-11-27 21:07:06
Weapon
Sharpshooter's Oath
2020-11-27 21:07:06
Weapon
Bloodtainted Greatsword
2020-11-27 21:07:06
Weapon
Emerald Orb
2020-11-27 21:07:06
Character
Sucrose (4-Star)
2020-11-27 21:06:38
Weapon
Slingshot
2020-11-27 21:06:38
Weapon
Ferrous Shadow
2020-11-27 21:06:38
Weapon
Cool Steel
2020-11-27 21:06:38
Weapon
Ferrous Shadow
2020-11-27 21:06:38
Weapon
Black Tassel
2020-11-27 21:06:38
Weapon
Bloodtainted Greatsword
2020-11-27 21:06:38
Weapon
Debate Club
2020-11-27 21:06:38
Weapon
Ferrous Shadow
2020-11-27 21:06:38
Weapon
Magic Guide
2020-11-27 21:06:38
Character
Beidou (4-Star)
2020-11-27 17:23:31
Weapon
Emerald Orb
2020-11-27 17:23:22
Weapon
The Stringless (4-Star)
2020-11-27 15:14:58
Weapon
Thrilling Tales of Dragon Slayers
2020-11-27 15:06:39
Weapon
Slingshot
2020-11-27 00:52:52
Weapon
Ferrous Shadow
2020-11-26 19:30:25
Weapon
Harbinger of Dawn
2020-11-26 19:30:16
Weapon
Slingshot
2020-11-26 17:00:26
Weapon
Magic Guide
2020-11-26 15:33:17
Weapon
Magic Guide
2020-11-26 15:33:10
Weapon
Emerald Orb
2020-11-26 15:33:03
Character
Diona (4-Star)
2020-11-26 15:32:33
Weapon
Sharpshooter's Oath
2020-11-26 00:18:15
Weapon
Slingshot
2020-11-26 00:18:06
Weapon
Harbinger of Dawn
2020-11-25 23:05:09
Weapon
Sharpshooter's Oath
2020-11-23 00:27:35
Weapon
Black Tassel
2020-11-22 12:59:09
Weapon
Skyrider Sword
2020-11-21 19:16:28
Weapon
Ferrous Shadow
2020-11-21 19:16:22
Weapon
Slingshot
2020-11-20 16:50:54
Weapon
Favonius Codex (4-Star)
2020-11-20 15:40:22
Weapon
Emerald Orb
2020-11-20 00:39:29
Weapon
Sharpshooter's Oath
2020-11-20 00:39:26
Weapon
Bloodtainted Greatsword
2020-11-20 00:39:23
Weapon
Bloodtainted Greatsword
2020-11-20 00:39:17
Weapon
Sharpshooter's Oath
2020-11-19 13:48:12
Weapon
Cool Steel
2020-11-19 13:05:31
Weapon
Magic Guide
2020-11-19 12:44:48
Weapon
Debate Club
2020-11-18 19:52:50
Character
Diona (4-Star)
2020-11-18 13:44:48
Weapon
Black Tassel
2020-11-18 13:08:19
Weapon
Ferrous Shadow
2020-11-18 12:15:17
Weapon
Ferrous Shadow
2020-11-18 01:33:39
Weapon
Emerald Orb
2020-11-17 19:52:10
Weapon
Sharpshooter's Oath
2020-11-17 19:52:06
Weapon
Sharpshooter's Oath
2020-11-17 19:52:01
Weapon
Harbinger of Dawn
2020-11-17 19:51:56
Weapon
Sharpshooter's Oath
2020-11-17 19:51:51
Weapon
Thrilling Tales of Dragon Slayers
2020-11-16 21:22:46
Character
Diona (4-Star)
2020-11-16 21:22:37
Weapon
Harbinger of Dawn
2020-11-16 13:28:28
Weapon
Harbinger of Dawn
2020-11-16 13:28:20
Weapon
Bloodtainted Greatsword
2020-11-16 13:28:17
Weapon
Skyrider Sword
2020-11-16 13:28:14
Weapon
Ferrous Shadow
2020-11-16 13:28:11
Weapon
Debate Club
2020-11-16 13:28:07
Weapon
Slingshot
2020-11-16 13:28:04
Weapon
Harbinger of Dawn
2020-11-16 13:28:01
Weapon
Cool Steel
2020-11-16 13:27:58
Character
Beidou (4-Star)
2020-11-16 13:27:51
Weapon
Raven Bow
2020-11-16 13:27:46
Weapon
Bloodtainted Greatsword
2020-11-11 22:56:52
Character
Qiqi (5-Star)
2020-11-11 14:02:43
Weapon
Ferrous Shadow
2020-11-11 14:02:38
Weapon
Slingshot
2020-11-11 14:02:34
Weapon
Black Tassel
2020-11-11 14:02:30
Weapon
Magic Guide
2020-11-11 14:02:27
Weapon
Cool Steel
2020-11-11 14:02:22
Weapon
Bloodtainted Greatsword
2020-11-11 14:02:16
Weapon
Favonius Lance (4-Star)
2020-11-09 22:58:13
Weapon
Bloodtainted Greatsword
2020-11-09 22:58:09
Weapon
Emerald Orb
2020-11-09 22:58:03
Weapon
Slingshot
2020-11-09 22:57:58
Weapon
Debate Club
2020-11-09 22:57:54
Weapon
Raven Bow
2020-11-09 22:57:49
Weapon
Bloodtainted Greatsword
2020-11-09 22:57:44
Weapon
Slingshot
2020-11-09 22:57:40
Weapon
Sharpshooter's Oath
2020-11-09 22:57:36
Weapon
Skyrider Sword
2020-11-09 22:57:31
Character
Xingqiu (4-Star)
2020-11-05 13:06:44
Weapon
Debate Club
2020-11-04 22:44:30
Weapon
Sharpshooter's Oath
2020-11-04 22:44:17
Character
Sucrose (4-Star)
2020-11-03 12:53:20
Weapon
Skyrider Sword
2020-11-03 12:53:16
Weapon
Thrilling Tales of Dragon Slayers
2020-11-03 12:53:10
Weapon
Bloodtainted Greatsword
2020-11-03 12:53:05
Weapon
Ferrous Shadow
2020-11-03 12:53:00
Weapon
Skyrider Sword
2020-11-03 12:52:55
Weapon
Slingshot
2020-11-03 12:51:00
Weapon
Debate Club
2020-11-03 12:50:53
Weapon
Slingshot
2020-11-02 13:49:12
Character
Noelle (4-Star)
2020-11-02 13:26:56
Weapon
