type,name,rarity,date
Weapon,Ferrous Shadow,3-Star,2020-10-27 00:45:40
Weapon,Skyrider Sword,3-Star,2020-10-27 18:48:05
Weapon,Black Tassel,3-Star,2020-10-27 18:48:05
Weapon,Skyrider Sword,3-Star,2020-10-27 18:48:05
Weapon,Harbinger of Dawn,3-Star,2020-10-27 18:48:05
Weapon,Bloodtainted Greatsword,3-Star,2020-10-27 18:48:05
Weapon,Magic Guide,3-Star,2020-10-27 18:48:05
Weapon,Sharpshooter's Oath,3-Star,2020-10-27 18:48:05
Weapon,Sacrificial Sword,4-Star,2020-10-27 18:48:05
Weapon,Debate Club,3-Star,2020-10-27 18:48:05
Weapon,Cool Steel,3-Star,2020-10-27 18:48:05
Weapon,Ferrous Shadow,3-Star,2020-10-27 18:49:58
Weapon,Raven Bow,3-Star,2020-10-27 18:49:58
Weapon,Black Tassel,3-Star,2020-10-27 18:49:58
Weapon,Sharpshooter's Oath,3-Star,2020-10-27 18:49:58
Weapon,Bloodtainted Greatsword,3-Star,2020-10-27 18:49:58
Weapon,Ferrous Shadow,3-Star,2020-10-27 18:49:58
Weapon,Harbinger of Dawn,3-Star,2020-10-27 18:49:58
Character,Lisa,4-Star,2020-10-27 18:49:58
Weapon,Magic Guide,3-Star,2020-10-27 18:49:58
Weapon,Sharpshooter's Oath,3-Star,2020-10-27 18:49:58
Weapon,Skyrider Sword,3-Star,2020-10-28 19:04:44
Weapon,Bloodtainted Greatsword,3-Star,2020-10-28 19:04:44
Weapon,Ferrous Shadow,3-Star,2020-10-28 19:04:44
Weapon,Magic Guide,3-Star,2020-10-28 19:04:44
Character,Sucrose,4-Star,2020-10-28 19:04:44
Weapon,Slingshot,3-Star,2020-10-28 19:04:44
Weapon,Skyward Spine,5-Star,2020-10-28 19:04:44
Weapon,Ferrous Shadow,3-Star,2020-10-28 19:04:44
Weapon,Harbinger of Dawn,3-Star,2020-10-28 19:04:44
Weapon,Ferrous Shadow,3-Star,2020-10-28 19:04:44
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-30 13:28:09
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-01 01:46:52
Weapon,Raven Bow,3-Star,2020-11-01 16:40:02
Weapon,Debate Club,3-Star,2020-11-02 13:26:16
Weapon,The Stringless,4-Star,2020-11-02 13:26:38
Weapon,Debate Club,3-Star,2020-11-02 13:28:13
Weapon,Skyrider Sword,3-Star,2020-11-02 13:49:42
Weapon,Magic Guide,3-Star,2020-11-04 22:45:30
Weapon,Slingshot,3-Star,2020-11-04 22:45:40
Weapon,Sharpshooter's Oath,3-Star,2020-11-08 22:36:55
Weapon,Emerald Orb,3-Star,2020-11-13 21:20:10
Weapon,Magic Guide,3-Star,2020-11-17 19:52:16
Weapon,Ferrous Shadow,3-Star,2020-11-17 19:52:22
Character,Lisa,4-Star,2020-11-19 00:45:21
Weapon,Black Tassel,3-Star,2020-11-21 23:33:21
Weapon,Sacrificial Sword,4-Star,2020-11-26 15:33:34
Weapon,Debate Club,3-Star,2020-11-29 00:56:56
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-29 00:57:04
Weapon,Debate Club,3-Star,2020-12-01 18:08:37
Weapon,Bloodtainted Greatsword,3-Star,2020-12-01 18:08:45
Weapon,Debate Club,3-Star,2020-12-01 18:08:52
Weapon,The Flute,4-Star,2020-12-01 18:09:11
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-01 18:09:29
Weapon,Bloodtainted Greatsword,3-Star,2020-12-04 10:18:29
Weapon,Black Tassel,3-Star,2020-12-11 13:10:24
Weapon,Sharpshooter's Oath,3-Star,2020-12-14 00:08:04
Weapon,Sharpshooter's Oath,3-Star,2020-12-14 00:08:18
Weapon,Slingshot,3-Star,2020-12-18 14:53:08
