type,name,rarity,date
Weapon,Emerald Orb,3-Star,2020-12-09 02:40:30
Weapon,Emerald Orb,3-Star,2020-12-09 02:40:56
Weapon,Raven Bow,3-Star,2020-12-09 02:41:09
Weapon,Sharpshooter's Oath,3-Star,2020-12-09 02:41:25
Weapon,Skyrider Sword,3-Star,2020-12-09 02:41:41
Weapon,Cool Steel,3-Star,2020-12-09 02:42:00
Weapon,Debate Club,3-Star,2020-12-09 02:43:09
Weapon,Harbinger of Dawn,3-Star,2020-12-09 03:53:42
Character,Razor,4-Star,2020-12-09 03:54:05
Weapon,Debate Club,3-Star,2020-12-09 22:48:59
Weapon,Emerald Orb,3-Star,2020-12-09 22:49:50
Weapon,Raven Bow,3-Star,2020-12-09 22:50:07
Weapon,Cool Steel,3-Star,2020-12-11 00:06:54
Weapon,Harbinger of Dawn,3-Star,2020-12-11 00:07:37
Weapon,Ferrous Shadow,3-Star,2020-12-11 23:23:49
Weapon,Bloodtainted Greatsword,3-Star,2020-12-11 23:24:03
Weapon,Harbinger of Dawn,3-Star,2020-12-11 23:24:19
Weapon,The Stringless,4-Star,2020-12-11 23:24:54
Weapon,Cool Steel,3-Star,2020-12-11 23:25:54
Weapon,Slingshot,3-Star,2020-12-11 23:26:20
Weapon,Magic Guide,3-Star,2020-12-12 00:12:10
Weapon,Black Tassel,3-Star,2020-12-12 17:06:22
Weapon,Debate Club,3-Star,2020-12-12 17:06:42
Weapon,Bloodtainted Greatsword,3-Star,2020-12-12 17:34:53
Weapon,Skyrider Sword,3-Star,2020-12-12 17:35:13
Weapon,Raven Bow,3-Star,2020-12-14 07:36:40
Character,Xinyan,4-Star,2020-12-14 07:36:57
Weapon,Harbinger of Dawn,3-Star,2020-12-16 22:25:10
Weapon,Debate Club,3-Star,2020-12-18 01:46:58
Weapon,Raven Bow,3-Star,2020-12-19 09:57:29
Weapon,Magic Guide,3-Star,2020-12-20 00:43:20
Weapon,Slingshot,3-Star,2020-12-20 12:17:21
Weapon,Slingshot,3-Star,2020-12-21 09:59:31
Weapon,Harbinger of Dawn,3-Star,2020-12-16 22:25:10
Weapon,Debate Club,3-Star,2020-12-18 01:46:58
Weapon,Raven Bow,3-Star,2020-12-19 09:57:29
Weapon,Magic Guide,3-Star,2020-12-20 00:43:20
Weapon,Slingshot,3-Star,2020-12-20 12:17:21
Weapon,Slingshot,3-Star,2020-12-21 09:59:31
Weapon,Cool Steel,3-Star,2020-12-21 18:08:54
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-21 18:51:19
Weapon,Sacrificial Bow,4-Star,2020-12-21 22:51:19
Weapon,Magic,3-Star,2020-12-23 10:15:51
Weapon,Bloodtainted Greatsword,3-Star,2020-12-24 19:45:48
Weapon,Ferrous Shadow,3-Star,2020-12-27 07:54:02
