type,name,rarity,date,banner
Weapon,Emerald Orb,3-Star,2020-12-09 02:40:30,char
Weapon,Emerald Orb,3-Star,2020-12-09 02:40:56,char
Weapon,Raven Bow,3-Star,2020-12-09 02:41:09,char
Weapon,Sharpshooter's Oath,3-Star,2020-12-09 02:41:25,char
Weapon,Skyrider Sword,3-Star,2020-12-09 02:41:41,char
Weapon,Cool Steel,3-Star,2020-12-09 02:42:00,char
Weapon,Debate Club,3-Star,2020-12-09 02:43:09,char
Weapon,Harbinger of Dawn,3-Star,2020-12-09 03:53:42,char
Character,Razor,4-Star,2020-12-09 03:54:05,char
Weapon,Debate Club,3-Star,2020-12-09 22:48:59,char
Weapon,Emerald Orb,3-Star,2020-12-09 22:49:50,char
Weapon,Raven Bow,3-Star,2020-12-09 22:50:07,char
Weapon,Cool Steel,3-Star,2020-12-11 00:06:54,char
Weapon,Harbinger of Dawn,3-Star,2020-12-11 00:07:37,char
Weapon,Ferrous Shadow,3-Star,2020-12-11 23:23:49,char
Weapon,Bloodtainted Greatsword,3-Star,2020-12-11 23:24:03,char
Weapon,Harbinger of Dawn,3-Star,2020-12-11 23:24:19,char
Weapon,The Stringless,4-Star,2020-12-11 23:24:54,char
Weapon,Cool Steel,3-Star,2020-12-11 23:25:54,char
Weapon,Slingshot,3-Star,2020-12-11 23:26:20,char
Weapon,Magic Guide,3-Star,2020-12-12 00:12:10,char
Weapon,Black Tassel,3-Star,2020-12-12 17:06:22,char
Weapon,Debate Club,3-Star,2020-12-12 17:06:42,char
Weapon,Bloodtainted Greatsword,3-Star,2020-12-12 17:34:53,char
Weapon,Skyrider Sword,3-Star,2020-12-12 17:35:13,char
Weapon,Raven Bow,3-Star,2020-12-14 07:36:40,char
Character,Xinyan,4-Star,2020-12-14 07:36:57,char
Weapon,Harbinger of Dawn,3-Star,2020-12-16 22:25:10,char
Weapon,Harbinger of Dawn,3-Star,2020-12-16 22:25:10,char
Weapon,Debate Club,3-Star,2020-12-18 01:46:58,char
Weapon,Debate Club,3-Star,2020-12-18 01:46:58,char
Weapon,Raven Bow,3-Star,2020-12-19 09:57:29,char
Weapon,Raven Bow,3-Star,2020-12-19 09:57:29,char
Weapon,Magic Guide,3-Star,2020-12-20 00:43:20,char
Weapon,Magic Guide,3-Star,2020-12-20 00:43:20,char
Weapon,Slingshot,3-Star,2020-12-20 12:17:21,char
Weapon,Slingshot,3-Star,2020-12-20 12:17:21,char
Weapon,Slingshot,3-Star,2020-12-21 09:59:31,char
Weapon,Slingshot,3-Star,2020-12-21 09:59:31,char
Weapon,Cool Steel,3-Star,2020-12-21 18:08:54,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-21 18:51:19,char
Weapon,Sacrificial Bow,4-Star,2020-12-21 22:51:19,char
Weapon,Magic,3-Star,2020-12-23 10:15:51,char
Weapon,Bloodtainted Greatsword,3-Star,2020-12-24 19:45:48,char
Weapon,Ferrous Shadow,3-Star,2020-12-27 07:54:02,char
