type,name,rarity,date
Weapon,Emerald Orb,3-Star,2020-11-11 21:42:34
Weapon,Sharpshooter's Oath,3-Star,2020-11-11 21:42:34
Weapon,Skyrider Sword,3-Star,2020-11-11 21:42:34
Weapon,Emerald Orb,3-Star,2020-11-11 21:42:34
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-11 21:42:34
Weapon,Ferrous Shadow,3-Star,2020-11-11 21:42:34
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-11 21:42:34
Weapon,Emerald Orb,3-Star,2020-11-11 21:42:34
Character,Ningguang,4-Star,2020-11-11 21:42:34
Weapon,Debate Club,3-Star,2020-11-11 21:42:34
Weapon,Debate Club,3-Star,2020-11-11 21:43:20
Weapon,Emerald Orb,3-Star,2020-11-11 21:43:20
Weapon,Raven Bow,3-Star,2020-11-11 21:43:20
Weapon,Sharpshooter's Oath,3-Star,2020-11-11 21:43:20
Weapon,Emerald Orb,3-Star,2020-11-11 21:43:20
Weapon,Bloodtainted Greatsword,3-Star,2020-11-11 21:43:20
Weapon,Skyrider Sword,3-Star,2020-11-11 21:43:20
Character,Diona,4-Star,2020-11-11 21:43:20
Weapon,Magic Guide,3-Star,2020-11-11 21:43:20
Weapon,Ferrous Shadow,3-Star,2020-11-11 21:43:20
Weapon,Bloodtainted Greatsword,3-Star,2020-11-11 21:43:59
Weapon,Skyrider Sword,3-Star,2020-11-11 21:43:59
Weapon,Raven Bow,3-Star,2020-11-11 21:43:59
Weapon,Slingshot,3-Star,2020-11-11 21:43:59
Weapon,Raven Bow,3-Star,2020-11-11 21:43:59
Weapon,Cool Steel,3-Star,2020-11-11 21:43:59
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-11 21:43:59
Weapon,Sacrificial Sword,4-Star,2020-11-11 21:43:59
Weapon,Black Tassel,3-Star,2020-11-11 21:43:59
Weapon,Raven Bow,3-Star,2020-11-11 21:43:59
Weapon,Magic Guide,3-Star,2020-11-14 11:01:52
Weapon,Bloodtainted Greatsword,3-Star,2020-11-14 11:01:52
Weapon,Black Tassel,3-Star,2020-11-14 11:01:52
Weapon,Ferrous Shadow,3-Star,2020-11-14 11:01:52
Weapon,Debate Club,3-Star,2020-11-14 11:01:52
Weapon,Slingshot,3-Star,2020-11-14 11:01:52
Character,Diona,4-Star,2020-11-14 11:01:52
Weapon,Harbinger of Dawn,3-Star,2020-11-14 11:01:52
Weapon,Emerald Orb,3-Star,2020-11-14 11:01:52
Weapon,Bloodtainted Greatsword,3-Star,2020-11-14 11:01:52
Weapon,Debate Club,3-Star,2020-11-15 11:46:50
Weapon,Emerald Orb,3-Star,2020-11-15 11:46:50
Weapon,Bloodtainted Greatsword,3-Star,2020-11-15 11:46:50
Weapon,Black Tassel,3-Star,2020-11-15 11:46:50
Weapon,Skyrider Sword,3-Star,2020-11-15 11:46:50
Weapon,The Bell,4-Star,2020-11-15 11:46:50
Weapon,Cool Steel,3-Star,2020-11-15 11:46:50
Weapon,Bloodtainted Greatsword,3-Star,2020-11-15 11:46:50
Weapon,Skyrider Sword,3-Star,2020-11-15 11:46:50
Weapon,Black Tassel,3-Star,2020-11-15 11:46:50
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-15 11:47:40
Weapon,Cool Steel,3-Star,2020-11-15 11:47:40
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-15 11:47:40
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-15 11:47:40
Weapon,Bloodtainted Greatsword,3-Star,2020-11-15 11:47:40
Character,Beidou,4-Star,2020-11-15 11:47:40
Weapon,Bloodtainted Greatsword,3-Star,2020-11-15 11:47:40
Weapon,Debate Club,3-Star,2020-11-15 11:47:40
Weapon,Bloodtainted Greatsword,3-Star,2020-11-15 11:47:40
Weapon,Skyrider Sword,3-Star,2020-11-15 11:47:40
Weapon,Magic Guide,3-Star,2020-11-21 21:48:30
Weapon,Magic Guide,3-Star,2020-11-21 21:48:30
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-21 21:48:30
Weapon,Slingshot,3-Star,2020-11-21 21:48:30
Weapon,Raven Bow,3-Star,2020-11-21 21:48:30
Weapon,Favonius Greatsword,4-Star,2020-11-21 21:48:30
Weapon,Magic Guide,3-Star,2020-11-21 21:48:30
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-21 21:48:30
Weapon,Bloodtainted Greatsword,3-Star,2020-11-21 21:48:30
Weapon,Cool Steel,3-Star,2020-11-21 21:48:30
Weapon,Raven Bow,3-Star,2020-11-21 21:49:26
Weapon,Bloodtainted Greatsword,3-Star,2020-11-21 21:49:26
Weapon,Magic Guide,3-Star,2020-11-21 21:49:26
Weapon,Sharpshooter's Oath,3-Star,2020-11-21 21:49:26
Character,Diona,4-Star,2020-11-21 21:49:26
Character,Tartaglia,5-Star,2020-11-21 21:49:26
Weapon,Raven Bow,3-Star,2020-11-21 21:49:26
Weapon,Bloodtainted Greatsword,3-Star,2020-11-21 21:49:26
Weapon,Debate Club,3-Star,2020-11-21 21:49:26
Weapon,Emerald Orb,3-Star,2020-11-21 21:49:26
