Weapon
Emerald Orb
2021-01-02 15:29:11
Weapon
Raven Bow
2021-01-02 15:29:00
Weapon
Cool Steel
2021-01-02 15:28:45
Weapon
Cool Steel
2021-01-01 13:32:49
Weapon
Black Tassel
2021-01-01 13:32:38
Character
Bennett (4-Star)
2021-01-01 13:32:26
Character
Keqing (5-Star)
2021-01-01 13:30:23
Weapon
Cool Steel
2021-01-01 13:30:14
Weapon
Thrilling Tales of Dragon Slayers
2021-01-01 13:30:06
Weapon
Magic Guide
2020-12-31 15:45:07
Weapon
Cool Steel
2020-12-31 13:58:25
Weapon
Bloodtainted Greatsword
2020-12-30 15:21:27
Weapon
Bloodtainted Greatsword
2020-12-29 19:00:30
Weapon
Thrilling Tales of Dragon Slayers
2020-12-28 21:41:46
Weapon
Bloodtainted Greatsword
2020-12-28 13:25:24
Character
Albedo (5-Star)
2020-12-28 12:21:30
Character
Fischl (4-Star)
2020-12-27 14:43:15
Weapon
Thrilling Tales of Dragon Slayers
2020-12-26 15:10:20
Weapon
Skyrider Sword
2020-12-25 23:01:47
Weapon
Black Tassel
2020-12-25 16:57:45
Weapon
Thrilling Tales of Dragon Slayers
2020-12-25 16:02:56
Weapon
Emerald Orb
2020-12-25 15:01:24
Weapon
Ferrous Shadow
2020-12-25 15:01:14
Weapon
Magic Guide
2020-12-25 02:29:07
Weapon
Bloodtainted Greatsword
2020-12-25 00:36:02
Weapon
Skyrider Sword
2020-12-24 20:33:10
Character
Sucrose (4-Star)
2020-12-24 20:32:55
Character
Sucrose (4-Star)
2020-12-24 18:40:42
Weapon
Skyrider Sword
2020-12-24 18:19:16
Weapon
Ferrous Shadow
2020-12-23 22:34:37
Weapon
Slingshot
2020-12-23 21:09:19
Weapon
Skyrider Sword
2020-12-23 21:09:11
Weapon
Cool Steel
2020-12-23 19:41:33
Character
Sucrose (4-Star)
2020-12-23 19:41:20
Weapon
Bloodtainted Greatsword
2020-12-23 19:41:12
Weapon
Thrilling Tales of Dragon Slayers
2020-12-23 19:41:03
Weapon
Magic Guide
2020-12-23 13:05:07
Weapon
Black Tassel
2020-12-23 12:54:42
Weapon
Raven Bow
2020-12-23 12:54:33
Weapon
Debate Club
2020-12-23 12:54:17
Weapon
Slingshot
2020-12-23 12:54:08
Weapon
Slingshot
2020-12-23 12:53:58
Weapon
Sharpshooter's Oath
2020-12-21 15:43:31
Character
Razor (4-Star)
2020-12-20 18:17:49
Weapon
Rainslasher (4-Star)
2020-12-19 21:09:27
Weapon
Emerald Orb
2020-12-18 12:02:27
Weapon
Sharpshooter's Oath
2020-12-17 13:40:29
Weapon
Skyrider Sword
2020-12-17 00:35:30
Weapon
Ferrous Shadow
2020-12-17 00:35:02
Weapon
Skyrider Sword
2020-12-17 00:34:47
Weapon
Magic Guide
2020-12-17 00:34:35
Weapon
Bloodtainted Greatsword
2020-12-17 00:34:24
Weapon
Sharpshooter's Oath
2020-12-17 00:34:13
Weapon
Skyrider Sword
2020-12-17 00:34:01
Character
Chongyun (4-Star)
2020-12-17 00:32:58
Weapon
Thrilling Tales of Dragon Slayers
2020-12-17 00:32:45
Weapon
Black Tassel
2020-12-17 00:32:14
Weapon
Skyrider Sword
2020-12-17 00:32:03
Weapon
Raven Bow
2020-12-17 00:31:53
Weapon
Black Tassel
2020-12-17 00:31:42
Weapon
Debate Club
2020-12-17 00:31:30
Weapon
Black Tassel
2020-12-17 00:31:19
Weapon
Sharpshooter's Oath
2020-12-17 00:31:09
Weapon
Lion's Roar (4-Star)
2020-12-17 00:30:52
Weapon
Emerald Orb
2020-12-17 00:30:37
Weapon
Thrilling Tales of Dragon Slayers
2020-12-17 00:30:18
Weapon
Cool Steel
2020-12-17 00:29:56
Weapon
Ferrous Shadow
2020-12-17 00:29:39
Weapon
Slingshot
2020-12-17 00:29:13
Weapon
Raven Bow
2020-12-17 00:28:52
Weapon
Skyrider Sword
2020-12-17 00:28:30
Weapon
Debate Club
2020-12-17 00:28:15
Weapon
Sharpshooter's Oath
2020-12-16 23:15:46
Character
Xinyan (4-Star)
2020-12-16 15:35:47
Weapon
Sharpshooter's Oath
2020-12-15 22:06:42
Weapon
Slingshot
2020-12-15 22:06:32
Weapon
Magic Guide
2020-12-14 23:28:23
Weapon
Bloodtainted Greatsword
2020-12-14 20:22:29
Weapon
Emerald Orb
2020-12-14 19:45:01
Weapon
Cool Steel
2020-12-13 17:50:55
Weapon
Black Tassel
2020-12-13 16:51:31
Weapon
Harbinger of Dawn
2020-12-13 16:24:03
Weapon
Magic Guide
2020-12-12 23:51:24
Character
Xinyan (4-Star)
2020-12-12 23:51:06
Weapon
The Stringless (4-Star)
2020-12-12 23:50:50
Weapon
Harbinger of Dawn
2020-12-11 19:57:03
Weapon
Slingshot
2020-12-11 19:56:52
Weapon
Slingshot
2020-12-10 22:29:48
Weapon
Harbinger of Dawn
2020-12-10 21:26:06
Weapon
Skyrider Sword
2020-12-09 20:07:56
Weapon
Raven Bow
2020-12-09 19:46:35
Weapon
Harbinger of Dawn
2020-12-09 15:13:41
Character
Razor (4-Star)
2020-12-08 21:23:13
Weapon
Emerald Orb
2020-12-08 21:22:21
Weapon
Black Tassel
2020-12-08 02:29:00
Character
Diluc (5-Star)
2020-12-08 00:32:12
Weapon
The Stringless (4-Star)
2020-12-08 00:31:57
Weapon
Magic Guide
2020-12-08 00:31:22
Weapon
Debate Club
2020-12-08 00:22:25
Weapon
Magic Guide
2020-12-07 21:42:18
Weapon
Raven Bow
2020-12-07 21:41:55
Weapon
Bloodtainted Greatsword
2020-12-06 19:28:59
Weapon
Skyrider Sword
2020-12-06 13:29:02
Weapon
Harbinger of Dawn
2020-12-06 13:23:55
Weapon
Debate Club
2020-12-05 15:49:58
Character
Razor (4-Star)
2020-12-05 00:49:53
Weapon
Cool Steel
2020-12-05 00:49:19
Weapon
Ferrous Shadow
2020-12-04 22:21:41
Weapon
Bloodtainted Greatsword
2020-12-04 22:21:28
Weapon
Emerald Orb
2020-12-04 20:29:00
Weapon
Cool Steel
2020-12-04 20:28:49
Weapon
Black Tassel
2020-12-04 15:48:00
Weapon
Emerald Orb
2020-12-04 15:47:51
Weapon
Magic Guide
2020-12-04 15:47:40
Weapon
Favonius Warbow (4-Star)
2020-12-04 15:47:26
Weapon
Skyrider Sword
2020-12-04 15:47:17
Weapon
Sharpshooter's Oath
2020-12-04 15:47:07
Weapon
Cool Steel
2020-12-04 00:14:31
Weapon
Sharpshooter's Oath
2020-12-03 23:02:05
Weapon
Emerald Orb
2020-12-03 23:01:54
Weapon
Debate Club
2020-12-02 23:29:31
Weapon
Cool Steel
2020-12-02 00:09:14
Weapon
Debate Club
2020-12-01 21:34:07
Character
Chongyun (4-Star)
2020-12-01 19:12:30
Character
Xinyan (4-Star)
2020-12-01 19:12:17
Weapon
Cool Steel
2020-12-01 19:12:07
Weapon
Debate Club
2020-12-01 19:11:56
Weapon
Ferrous Shadow
2020-12-01 19:11:39
Weapon
Thrilling Tales of Dragon Slayers
2020-12-01 19:11:26
Weapon
Emerald Orb
2020-11-21 21:49:26
Weapon
Debate Club
2020-11-21 21:49:26
Weapon
Bloodtainted Greatsword
2020-11-21 21:49:26
Weapon
Raven Bow
2020-11-21 21:49:26
Character
Tartaglia (5-Star)
2020-11-21 21:49:26
Character
Diona (4-Star)
2020-11-21 21:49:26
Weapon
Sharpshooter's Oath
2020-11-21 21:49:26
Weapon
Magic Guide
2020-11-21 21:49:26
Weapon
Bloodtainted Greatsword
2020-11-21 21:49:26
Weapon
Raven Bow
2020-11-21 21:49:26
Weapon
Cool Steel
2020-11-21 21:48:30
Weapon
Bloodtainted Greatsword
2020-11-21 21:48:30
Weapon
Thrilling Tales of Dragon Slayers
2020-11-21 21:48:30
Weapon
Magic Guide
2020-11-21 21:48:30
Weapon
Favonius Greatsword (4-Star)
2020-11-21 21:48:30
Weapon
Raven Bow
2020-11-21 21:48:30
Weapon
Slingshot
2020-11-21 21:48:30
Weapon
Thrilling Tales of Dragon Slayers
2020-11-21 21:48:30
Weapon
Magic Guide
2020-11-21 21:48:30
Weapon
Magic Guide
2020-11-21 21:48:30
Weapon
Skyrider Sword
2020-11-15 11:47:40
Weapon
Bloodtainted Greatsword
2020-11-15 11:47:40
Weapon
Debate Club
2020-11-15 11:47:40
Weapon
Bloodtainted Greatsword
2020-11-15 11:47:40
Character
Beidou (4-Star)
2020-11-15 11:47:40
Weapon
Bloodtainted Greatsword
2020-11-15 11:47:40
Weapon
Thrilling Tales of Dragon Slayers
2020-11-15 11:47:40
Weapon
Thrilling Tales of Dragon Slayers
2020-11-15 11:47:40
Weapon
Cool Steel
2020-11-15 11:47:40
Weapon
Thrilling Tales of Dragon Slayers
2020-11-15 11:47:40
Weapon
Black Tassel
2020-11-15 11:46:50
Weapon
Skyrider Sword
2020-11-15 11:46:50
Weapon
Bloodtainted Greatsword
2020-11-15 11:46:50
Weapon
Cool Steel
2020-11-15 11:46:50
Weapon
The Bell (4-Star)
2020-11-15 11:46:50
Weapon
Skyrider Sword
2020-11-15 11:46:50
Weapon
Black Tassel
2020-11-15 11:46:50
Weapon
Bloodtainted Greatsword
2020-11-15 11:46:50
Weapon
Emerald Orb
2020-11-15 11:46:50
Weapon
Debate Club
2020-11-15 11:46:50
Weapon
Bloodtainted Greatsword
2020-11-14 11:01:52
Weapon
Emerald Orb
2020-11-14 11:01:52
Weapon
Harbinger of Dawn
2020-11-14 11:01:52
Character
Diona (4-Star)
2020-11-14 11:01:52
Weapon
Slingshot
2020-11-14 11:01:52
Weapon
Debate Club
2020-11-14 11:01:52
Weapon
Ferrous Shadow
2020-11-14 11:01:52
Weapon
Black Tassel
2020-11-14 11:01:52
Weapon
Bloodtainted Greatsword
2020-11-14 11:01:52
Weapon
Magic Guide
2020-11-14 11:01:52
Weapon
Raven Bow
2020-11-11 21:43:59
Weapon
Black Tassel
2020-11-11 21:43:59
Weapon
Sacrificial Sword (4-Star)
2020-11-11 21:43:59
Weapon
Thrilling Tales of Dragon Slayers
2020-11-11 21:43:59
Weapon
Cool Steel
2020-11-11 21:43:59
Weapon
Raven Bow
2020-11-11 21:43:59
Weapon
Slingshot
2020-11-11 21:43:59
Weapon
Raven Bow
2020-11-11 21:43:59
Weapon
Skyrider Sword
2020-11-11 21:43:59
Weapon
Bloodtainted Greatsword
2020-11-11 21:43:59
Weapon
Ferrous Shadow
2020-11-11 21:43:20
Weapon
Magic Guide
2020-11-11 21:43:20
Character
Diona (4-Star)
2020-11-11 21:43:20
Weapon
Skyrider Sword
2020-11-11 21:43:20
Weapon
Bloodtainted Greatsword
2020-11-11 21:43:20
Weapon
Emerald Orb
2020-11-11 21:43:20
Weapon
Sharpshooter's Oath
2020-11-11 21:43:20
Weapon
Raven Bow
2020-11-11 21:43:20
Weapon
Emerald Orb
2020-11-11 21:43:20
Weapon
Debate Club
2020-11-11 21:43:20
Weapon
Debate Club
2020-11-11 21:42:34
Character
Ningguang (4-Star)
2020-11-11 21:42:34
Weapon
Emerald Orb
2020-11-11 21:42:34
Weapon
Thrilling Tales of Dragon Slayers
2020-11-11 21:42:34
Weapon
Ferrous Shadow
2020-11-11 21:42:34
Weapon
Thrilling Tales of Dragon Slayers
2020-11-11 21:42:34
Weapon
Emerald Orb
2020-11-11 21:42:34
Weapon
Skyrider Sword
2020-11-11 21:42:34
Weapon
Sharpshooter's Oath
2020-11-11 21:42:34
Weapon
Emerald Orb
2020-11-11 21:42:34
