type,name,rarity,date
Weapon,Harbinger of Dawn,3-Star,2020-10-25 23:05:27
Weapon,Skyrider Sword,3-Star,2020-10-25 23:05:27
Weapon,Slingshot,3-Star,2020-10-25 23:05:27
Weapon,Harbinger of Dawn,3-Star,2020-10-25 23:05:27
Weapon,Ferrous Shadow,3-Star,2020-10-25 23:05:27
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-25 23:05:27
Weapon,Black Tassel,3-Star,2020-10-25 23:05:27
Character,Noelle,4-Star,2020-10-25 23:05:27
Character,Qiqi,5-Star,2020-10-25 23:05:27
Weapon,Harbinger of Dawn,3-Star,2020-10-25 23:05:27
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-27 03:23:27
Character,Sucrose,4-Star,2020-10-27 03:23:27
Weapon,Harbinger of Dawn,3-Star,2020-10-27 03:23:27
Weapon,Debate Club,3-Star,2020-10-27 03:23:27
Weapon,Harbinger of Dawn,3-Star,2020-10-27 03:23:27
Weapon,Sharpshooter's Oath,3-Star,2020-10-27 03:23:27
Weapon,Skyrider Sword,3-Star,2020-10-27 03:23:27
Weapon,Raven Bow,3-Star,2020-10-27 03:23:27
Weapon,Ferrous Shadow,3-Star,2020-10-27 03:23:27
Weapon,Debate Club,3-Star,2020-10-27 03:23:27
