type,name,rarity,date
Weapon,Slingshot,3-Star,2020-10-26 16:51:42
Weapon,Ferrous Shadow,3-Star,2020-10-26 16:51:42
Weapon,Ferrous Shadow,3-Star,2020-10-26 16:51:42
Weapon,Skyrider Sword,3-Star,2020-10-26 16:51:42
Weapon,Debate Club,3-Star,2020-10-26 16:51:42
Character,Lisa,4-Star,2020-10-26 16:51:42
Weapon,Sharpshooter's Oath,3-Star,2020-10-26 16:51:42
Weapon,Raven Bow,3-Star,2020-10-26 16:51:42
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-26 16:51:42
Weapon,Sharpshooter's Oath,3-Star,2020-10-26 16:51:42
Weapon,Black Tassel,3-Star,2020-10-27 03:25:42
Weapon,Debate Club,3-Star,2020-10-27 03:25:42
Weapon,Sharpshooter's Oath,3-Star,2020-10-27 03:25:42
Weapon,Emerald Orb,3-Star,2020-10-27 03:25:42
Character,Fischl,4-Star,2020-10-27 03:25:42
Weapon,Bloodtainted Greatsword,3-Star,2020-10-27 03:25:42
Weapon,Bloodtainted Greatsword,3-Star,2020-10-27 03:25:42
Weapon,Emerald Orb,3-Star,2020-10-27 03:25:42
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-27 03:25:42
Weapon,Cool Steel,3-Star,2020-10-27 03:25:42
Weapon,Ferrous Shadow,3-Star,2020-10-27 03:28:06
Weapon,Raven Bow,3-Star,2020-10-27 03:28:06
Weapon,Raven Bow,3-Star,2020-10-27 03:28:06
Weapon,Sacrificial Bow,4-Star,2020-10-27 03:28:06
Weapon,Bloodtainted Greatsword,3-Star,2020-10-27 03:28:06
Weapon,Skyrider Sword,3-Star,2020-10-27 03:28:06
Weapon,Bloodtainted Greatsword,3-Star,2020-10-27 03:28:06
Weapon,Ferrous Shadow,3-Star,2020-10-27 03:28:06
Weapon,Debate Club,3-Star,2020-10-27 03:28:06
Weapon,Black Tassel,3-Star,2020-10-27 03:28:06
Weapon,Slingshot,3-Star,2020-10-28 19:53:55
Weapon,Sharpshooter's Oath,3-Star,2020-10-28 19:53:55
Character,Xiangling,4-Star,2020-10-28 19:53:55
Weapon,Bloodtainted Greatsword,3-Star,2020-10-28 19:53:55
Weapon,Cool Steel,3-Star,2020-10-28 19:53:55
Weapon,Slingshot,3-Star,2020-10-28 19:53:55
Weapon,Slingshot,3-Star,2020-10-28 19:53:55
Weapon,Ferrous Shadow,3-Star,2020-10-28 19:53:55
Character,Bennett,4-Star,2020-10-28 19:53:55
Weapon,Harbinger of Dawn,3-Star,2020-10-28 19:53:55
Weapon,Ferrous Shadow,3-Star,2020-11-01 16:46:29
Weapon,Skyrider Sword,3-Star,2020-11-01 16:46:29
Weapon,Raven Bow,3-Star,2020-11-01 16:46:29
Weapon,Skyrider Sword,3-Star,2020-11-01 16:46:29
Weapon,Harbinger of Dawn,3-Star,2020-11-01 16:46:29
Weapon,Slingshot,3-Star,2020-11-01 16:46:29
Weapon,Dragon's Bane,4-Star,2020-11-01 16:46:29
Weapon,Black Tassel,3-Star,2020-11-01 16:46:29
Weapon,Harbinger of Dawn,3-Star,2020-11-01 16:46:29
Weapon,Emerald Orb,3-Star,2020-11-01 16:46:29
Weapon,Cool Steel,3-Star,2020-11-01 16:47:22
Weapon,Emerald Orb,3-Star,2020-11-01 16:47:22
Weapon,Raven Bow,3-Star,2020-11-01 16:47:22
Weapon,Skyrider Sword,3-Star,2020-11-01 16:47:22
Weapon,Sharpshooter's Oath,3-Star,2020-11-01 16:47:22
Character,Ningguang,4-Star,2020-11-01 16:47:22
Weapon,Ferrous Shadow,3-Star,2020-11-01 16:47:22
Weapon,Cool Steel,3-Star,2020-11-01 16:47:22
Weapon,Harbinger of Dawn,3-Star,2020-11-01 16:47:22
Weapon,Slingshot,3-Star,2020-11-01 16:47:22
Weapon,Emerald Orb,3-Star,2020-11-01 23:00:48
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-01 23:00:48
Weapon,Bloodtainted Greatsword,3-Star,2020-11-01 23:00:48
Weapon,Ferrous Shadow,3-Star,2020-11-01 23:00:48
Weapon,Emerald Orb,3-Star,2020-11-01 23:00:48
Weapon,Dragon's Bane,4-Star,2020-11-01 23:00:48
Weapon,Cool Steel,3-Star,2020-11-01 23:00:48
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-01 23:00:48
Weapon,Black Tassel,3-Star,2020-11-01 23:00:48
Weapon,Black Tassel,3-Star,2020-11-01 23:00:48
Weapon,Harbinger of Dawn,3-Star,2020-11-05 23:05:17
Weapon,Bloodtainted Greatsword,3-Star,2020-11-05 23:05:17
Weapon,Bloodtainted Greatsword,3-Star,2020-11-05 23:05:17
Weapon,Emerald Orb,3-Star,2020-11-05 23:05:17
Character,Lisa,4-Star,2020-11-05 23:05:17
Weapon,Slingshot,3-Star,2020-11-05 23:05:17
Weapon,Emerald Orb,3-Star,2020-11-05 23:05:17
Weapon,Sacrificial Bow,4-Star,2020-11-05 23:05:17
Weapon,The Flute,4-Star,2020-11-05 23:05:17
Character,Diluc,5-Star,2020-11-05 23:05:17
Weapon,Bloodtainted Greatsword,3-Star,2020-12-01 19:08:01
Weapon,Sharpshooter's Oath,3-Star,2020-12-01 19:08:10
Weapon,Harbinger of Dawn,3-Star,2020-12-01 19:08:18
Weapon,Harbinger of Dawn,3-Star,2020-12-01 19:08:25
Weapon,Magic Guide,3-Star,2020-12-01 19:08:33
Weapon,Sharpshooter's Oath,3-Star,2020-12-01 19:08:41
Weapon,Sharpshooter's Oath,3-Star,2020-12-01 19:08:50
Weapon,Amos' Bow,5-Star,2020-12-01 19:08:58
Character,Barbara,4-Star,2020-12-01 19:10:08
Character,Xingqiu,4-Star,2020-12-01 19:10:22
Weapon,Debate Club,3-Star,2020-12-01 19:10:34
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-01 19:10:44
Weapon,Cool Steel,3-Star,2020-12-01 19:10:53
Weapon,Bloodtainted Greatsword,3-Star,2020-12-01 19:11:04
Weapon,Debate Club,3-Star,2020-12-01 20:13:45
Weapon,Cool Steel,3-Star,2020-12-04 20:28:27
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-08 00:30:57
Weapon,Cool Steel,3-Star,2020-12-10 00:09:11
Weapon,Bloodtainted Greatsword,3-Star,2020-12-10 00:09:23
Weapon,Favonius Greatsword,4-Star,2020-12-10 00:09:33
Weapon,Harbinger of Dawn,3-Star,2020-12-23 12:50:13
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-23 12:50:23
Weapon,Black Tassel,3-Star,2020-12-23 12:50:33
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-23 12:50:41
Weapon,Slingshot,3-Star,2020-12-23 12:50:49
Weapon,Skyrider Sword,3-Star,2020-12-23 12:50:56
Weapon,Sacrificial Greatsword,4-Star,2020-12-23 12:51:04
Weapon,Harbinger of Dawn,3-Star,2020-12-23 12:51:19
Weapon,Sharpshooter's Oath,3-Star,2020-12-23 12:51:27
Weapon,Bloodtainted Greatsword,3-Star,2020-12-23 12:51:34
Weapon,Sharpshooter's Oath,3-Star,2020-12-23 12:51:42
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-23 12:51:49
Weapon,Debate Club,3-Star,2020-12-23 12:51:57
Weapon,Harbinger of Dawn,3-Star,2020-12-23 12:52:06
Character,Xiangling,4-Star,2020-12-23 12:52:20
Weapon,Cool Steel,3-Star,2020-12-23 12:52:36
Weapon,Cool Steel,3-Star,2020-12-23 12:52:45
Weapon,Sharpshooter's Oath,3-Star,2020-12-23 12:52:53
Weapon,Ferrous Shadow,3-Star,2020-12-23 12:53:01
Weapon,Black Tassel,3-Star,2020-12-23 12:53:15
Weapon,Bloodtainted Greatsword,3-Star,2020-12-23 12:53:29
Character,Xinyan,4-Star,2020-12-23 19:40:41
Weapon,Skyrider Sword,3-Star,2020-12-23 19:40:53
Weapon,Slingshot,3-Star,2020-12-23 21:08:55
