type,name,rarity,date
Weapon,Slingshot,3-Star,2020-10-26 16:50:46
Weapon,Magic Guide,3-Star,2020-10-26 16:50:46
Weapon,Debate Club,3-Star,2020-10-26 16:50:46
Weapon,Skyrider Sword,3-Star,2020-10-26 16:50:46
Weapon,Slingshot,3-Star,2020-10-26 16:50:46
Weapon,Sharpshooter's Oath,3-Star,2020-10-26 16:50:46
Weapon,Magic Guide,3-Star,2020-10-26 16:50:46
Weapon,Dragon's Bane,4-Star,2020-10-26 16:50:46
Weapon,Debate Club,3-Star,2020-10-26 16:50:46
Weapon,Skyrider Sword,3-Star,2020-10-26 16:50:46
Weapon,Sharpshooter's Oath,3-Star,2020-11-22 11:56:04
Weapon,Ferrous Shadow,3-Star,2020-11-22 11:56:18
Weapon,Emerald Orb,3-Star,2020-11-22 11:56:31
Weapon,Magic Guide,3-Star,2020-11-22 12:10:23
Weapon,Raven Bow,3-Star,2020-11-22 12:10:23
Weapon,Emerald Orb,3-Star,2020-11-22 12:10:23
Character,Ningguang,4-Star,2020-11-22 12:10:23
Weapon,Cool Steel,3-Star,2020-11-22 12:10:23
Weapon,Sharpshooter's Oath,3-Star,2020-11-22 12:10:23
Weapon,Cool Steel,3-Star,2020-11-22 12:10:23
Weapon,Magic Guide,3-Star,2020-11-22 12:10:23
Weapon,Ferrous Shadow,3-Star,2020-11-22 12:10:23
Weapon,Ferrous Shadow,3-Star,2020-11-22 12:10:23
Weapon,Rust,4-Star,2020-11-22 17:20:02
Weapon,Emerald Orb,3-Star,2020-11-22 17:20:32
Weapon,Rainslasher,4-Star,2020-11-22 17:21:13
Weapon,Slingshot,3-Star,2020-11-22 17:21:57
Weapon,Slingshot,3-Star,2020-11-22 17:22:28
Weapon,Harbinger of Dawn,3-Star,2020-11-22 17:23:01
Weapon,Magic Guide,3-Star,2020-11-22 17:23:23
Weapon,Raven Bow,3-Star,2020-11-22 17:24:38
Weapon,Magic Guide,3-Star,2020-11-22 17:25:18
Weapon,Magic Guide,3-Star,2020-11-22 17:26:36
Weapon,Harbinger of Dawn,3-Star,2020-11-22 18:30:16
Weapon,Rainslasher,4-Star,2020-11-22 18:30:41
