type,name,rarity,date
Weapon,Sharpshooter's Oath,3-Star,2020-10-29 00:43:48
Weapon,Magic Guide,3-Star,2020-10-29 00:43:48
Weapon,Cool Steel,3-Star,2020-10-29 00:43:48
Weapon,Skyrider Sword,3-Star,2020-10-29 00:43:48
Weapon,Debate Club,3-Star,2020-10-29 00:43:48
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-29 00:43:48
Weapon,Black Tassel,3-Star,2020-10-29 00:43:48
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-29 00:43:48
Weapon,Skyrider Sword,3-Star,2020-10-29 00:43:48
Weapon,The Stringless,4-Star,2020-10-29 00:43:48
Weapon,Emerald Orb,3-Star,2020-10-29 00:46:22
Weapon,Emerald Orb,3-Star,2020-10-29 00:46:22
Weapon,Bloodtainted Greatsword,3-Star,2020-10-29 00:46:22
Weapon,Harbinger of Dawn,3-Star,2020-10-29 00:46:22
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-29 00:46:22
Weapon,Cool Steel,3-Star,2020-10-29 00:46:22
Weapon,Skyrider Sword,3-Star,2020-10-29 00:46:22
Weapon,Debate Club,3-Star,2020-10-29 00:46:22
Weapon,Raven Bow,3-Star,2020-10-29 00:46:22
Character,Xingqiu,4-Star,2020-10-29 00:46:22
Weapon,Skyrider Sword,3-Star,2020-10-29 00:51:44
Weapon,Bloodtainted Greatsword,3-Star,2020-10-29 00:52:04
Weapon,Slingshot,3-Star,2020-10-30 01:24:33
Weapon,Ferrous Shadow,3-Star,2020-11-01 02:25:34
Weapon,Skyrider Sword,3-Star,2020-11-02 00:12:54
Weapon,Raven Bow,3-Star,2020-11-02 00:13:13
Weapon,Ferrous Shadow,3-Star,2020-11-03 01:34:55
Weapon,Magic Guide,3-Star,2020-11-04 01:14:01
Weapon,Slingshot,3-Star,2020-11-05 00:59:52
Weapon,Eye of Perception,4-Star,2020-11-06 02:04:52
Weapon,Slingshot,3-Star,2020-11-07 01:24:49
Weapon,Magic Guide,3-Star,2020-11-07 03:05:49
Weapon,Debate Club,3-Star,2020-11-07 03:06:32
Weapon,Slingshot,3-Star,2020-11-07 03:07:10
Weapon,Black Tassel,3-Star,2020-11-07 03:07:47
Weapon,Raven Bow,3-Star,2020-11-07 03:08:26
Weapon,Black Tassel,3-Star,2020-11-07 21:42:10
