Character
Xinyan (4-Star)
2020-12-20 01:57:40
Weapon
Bloodtainted Greatsword
2020-12-20 01:38:21
Weapon
Black Tassel
2020-12-19 16:07:19
Weapon
Skyrider Sword
2020-12-18 00:13:38
Character
Barbara (4-Star)
2020-12-18 00:13:38
Weapon
Emerald Orb
2020-12-18 00:13:38
Weapon
Raven Bow
2020-12-18 00:13:38
Weapon
Cool Steel
2020-12-18 00:13:38
Weapon
Raven Bow
2020-12-18 00:13:38
Weapon
Emerald Orb
2020-12-18 00:13:38
Weapon
Black Tassel
2020-12-18 00:13:38
Weapon
Thrilling Tales of Dragon Slayers
2020-12-18 00:13:38
Weapon
Emerald Orb
2020-12-18 00:13:38
Character
Razor (4-Star)
2020-12-17 02:41:54
Weapon
The Flute (4-Star)
2020-12-17 02:41:25
Weapon
Bloodtainted Greatsword
2020-12-17 02:41:11
Weapon
Skyrider Sword
2020-12-17 02:40:56
Weapon
Sharpshooter's Oath
2020-12-16 23:09:07
Weapon
Black Tassel
2020-12-16 23:09:07
Weapon
Bloodtainted Greatsword
2020-12-16 23:09:07
Weapon
Bloodtainted Greatsword
2020-12-16 23:09:07
Weapon
Magic Guide
2020-12-16 23:09:07
Weapon
Debate Club
2020-12-16 23:09:07
Character
Xinyan (4-Star)
2020-12-16 23:09:07
Weapon
Sharpshooter's Oath
2020-12-16 23:09:07
Weapon
Magic Guide
2020-12-16 23:09:07
Weapon
Raven Bow
2020-12-16 23:09:07
Character
Razor (4-Star)
2020-12-13 02:38:49
Weapon
Ferrous Shadow
2020-12-12 17:30:06
Weapon
Cool Steel
2020-12-12 12:05:59
Weapon
Debate Club
2020-12-12 03:00:27
Weapon
Slingshot
2020-12-11 22:03:57
Weapon
Sharpshooter's Oath
2020-12-11 22:03:40
Weapon
Black Tassel
2020-12-10 22:26:33
Weapon
Raven Bow
2020-12-10 14:16:09
Weapon
Emerald Orb
2020-12-10 00:53:30
Weapon
Ferrous Shadow
2020-12-09 00:48:56
Character
Chongyun (4-Star)
2020-12-08 18:07:29
Weapon
Slingshot
2020-12-08 13:33:22
Weapon
Slingshot
2020-12-08 01:31:03
Weapon
Raven Bow
2020-12-07 21:32:40
Weapon
Debate Club
2020-12-07 21:32:25
Weapon
Cool Steel
2020-12-06 22:51:42
Weapon
Black Tassel
2020-12-06 17:33:35
Weapon
Debate Club
2020-12-06 17:33:24
Weapon
Harbinger of Dawn
2020-12-06 17:33:12
Weapon
Favonius Greatsword (4-Star)
2020-12-06 01:42:08
Weapon
Raven Bow
2020-12-05 17:17:10
Weapon
Ferrous Shadow
2020-12-05 16:17:27
Weapon
Cool Steel
2020-12-05 00:10:23
Weapon
Harbinger of Dawn
2020-12-04 00:49:55
Weapon
Raven Bow
2020-12-04 00:49:43
Weapon
Debate Club
