type,name,rarity,date
Character,Xiangling,4-Star,2020-10-28 22:22:46
Character,Xiangling,4-Star,2020-10-28 22:22:46
Weapon,Black Tassel,3-Star,2020-10-28 22:22:46
Weapon,Emerald Orb,3-Star,2020-10-28 22:22:46
Weapon,Raven Bow,3-Star,2020-10-28 22:22:46
Weapon,Ferrous Shadow,3-Star,2020-10-28 22:22:46
Weapon,Emerald Orb,3-Star,2020-10-28 22:22:46
Character,Noelle,4-Star,2020-10-28 22:22:46
Weapon,Bloodtainted Greatsword,3-Star,2020-10-28 22:22:46
Weapon,Bloodtainted Greatsword,3-Star,2020-10-28 22:22:46
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-29 00:40:12
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-29 00:40:12
Weapon,Ferrous Shadow,3-Star,2020-10-29 00:40:12
Weapon,Black Tassel,3-Star,2020-10-29 00:40:12
Weapon,Bloodtainted Greatsword,3-Star,2020-10-29 00:40:12
Weapon,Sharpshooter's Oath,3-Star,2020-10-29 00:40:12
Weapon,Bloodtainted Greatsword,3-Star,2020-10-29 00:40:12
Character,Ningguang,4-Star,2020-10-29 00:40:12
Weapon,Emerald Orb,3-Star,2020-10-29 00:40:12
Weapon,Slingshot,3-Star,2020-10-29 00:40:12
