type,name,rarity,date
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-08 20:33:14
Weapon,Black Tassel,3-Star,2020-11-08 20:33:14
Weapon,Skyrider Sword,3-Star,2020-11-08 20:33:14
Weapon,Magic Guide,3-Star,2020-11-08 20:33:14
Weapon,Raven Bow,3-Star,2020-11-08 20:33:14
Weapon,Skyrider Sword,3-Star,2020-11-08 20:33:14
Weapon,Slingshot,3-Star,2020-11-08 20:33:14
Weapon,Emerald Orb,3-Star,2020-11-08 20:33:14
Character,Xingqiu,4-Star,2020-11-08 20:33:14
Weapon,Debate Club,3-Star,2020-11-08 20:33:14
Weapon,Emerald Orb,3-Star,2020-11-12 00:18:41
Weapon,Skyrider Sword,3-Star,2020-11-12 00:18:58
Weapon,Emerald Orb,3-Star,2020-11-12 00:19:25
Weapon,Slingshot,3-Star,2020-11-12 00:19:40
Weapon,Slingshot,3-Star,2020-11-12 00:19:55
Weapon,Emerald Orb,3-Star,2020-11-12 00:20:10
Weapon,Skyrider Sword,3-Star,2020-11-12 00:21:09
Weapon,Rainslasher,4-Star,2020-11-14 02:57:54
Weapon,Harbinger of Dawn,3-Star,2020-11-16 01:31:55
Weapon,Magic Guide,3-Star,2020-11-16 01:32:07
Weapon,Emerald Orb,3-Star,2020-11-27 03:28:30
Weapon,Raven Bow,3-Star,2020-11-27 03:29:09
Weapon,Emerald Orb,3-Star,2020-12-01 02:10:20
Weapon,Harbinger of Dawn,3-Star,2020-12-01 02:10:34
Weapon,Cool Steel,3-Star,2020-12-02 00:44:24
Weapon,Slingshot,3-Star,2020-12-02 00:44:59
Character,Chongyun,4-Star,2020-12-02 23:22:05
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-04 00:45:11
Weapon,Harbinger of Dawn,3-Star,2020-12-04 00:45:53
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-05 00:11:10
Weapon,Cool Steel,3-Star,2020-12-05 00:11:23
Weapon,Slingshot,3-Star,2020-12-06 02:53:58
Weapon,Harbinger of Dawn,3-Star,2020-12-08 14:22:09
Weapon,Black Tassel,3-Star,2020-12-11 02:17:57
Weapon,Debate Club,3-Star,2020-12-16 01:21:00
