type,name,rarity,date,banner
Weapon,Emerald Orb,3-Star,2020-10-28 22:22:46,novice
Weapon,Bloodtainted Greatsword,3-Star,2020-10-28 22:22:46,novice
Weapon,Bloodtainted Greatsword,3-Star,2020-10-28 22:22:46,novice
Character,Noelle,4-Star,2020-10-28 22:22:46,novice
Character,Xiangling,4-Star,2020-10-28 22:22:46,novice
Weapon,Ferrous Shadow,3-Star,2020-10-28 22:22:46,novice
Weapon,Black Tassel,3-Star,2020-10-28 22:22:46,novice
Weapon,Emerald Orb,3-Star,2020-10-28 22:22:46,novice
Weapon,Raven Bow,3-Star,2020-10-28 22:22:46,novice
Character,Xiangling,4-Star,2020-10-28 22:22:46,novice
Weapon,Slingshot,3-Star,2020-10-29 00:40:12,novice
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-29 00:40:12,novice
Weapon,Ferrous Shadow,3-Star,2020-10-29 00:40:12,novice
Weapon,Black Tassel,3-Star,2020-10-29 00:40:12,novice
Weapon,Bloodtainted Greatsword,3-Star,2020-10-29 00:40:12,novice
Weapon,Sharpshooter's Oath,3-Star,2020-10-29 00:40:12,novice
Weapon,Bloodtainted Greatsword,3-Star,2020-10-29 00:40:12,novice
Character,Ningguang,4-Star,2020-10-29 00:40:12,novice
Weapon,Emerald Orb,3-Star,2020-10-29 00:40:12,novice
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-29 00:40:12,novice
Weapon,Sharpshooter's Oath,3-Star,2020-10-29 00:43:48,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-29 00:43:48,char
Weapon,The Stringless,4-Star,2020-10-29 00:43:48,char
Weapon,Skyrider Sword,3-Star,2020-10-29 00:43:48,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-29 00:43:48,char
Weapon,Black Tassel,3-Star,2020-10-29 00:43:48,char
Weapon,Debate Club,3-Star,2020-10-29 00:43:48,char
Weapon,Magic Guide,3-Star,2020-10-29 00:43:48,char
Weapon,Cool Steel,3-Star,2020-10-29 00:43:48,char
Weapon,Skyrider Sword,3-Star,2020-10-29 00:43:48,char
Weapon,Raven Bow,3-Star,2020-10-29 00:46:22,char
Weapon,Emerald Orb,3-Star,2020-10-29 00:46:22,char
